Juego inicializado - Nivel 1 (mapa 10x10) - 4 colectables
Sala inicial: 0

=== SETUP INICIAL ===
Posicion de la camara: -20.00, 1.00, 12.00
Centro de sala (y, x) 2D: 5, 3
Mouse Moved: Yaw -> 175.25, Pitch -> 0.00
Mouse Moved: Yaw -> 170.75, Pitch -> 0.00
Mouse Moved: Yaw -> 165.75, Pitch -> 0.00
Mouse Moved: Yaw -> 160.75, Pitch -> 0.00
Mouse Moved: Yaw -> 156.00, Pitch -> 0.00
Mouse Moved: Yaw -> 151.00, Pitch -> 0.00
Mouse Moved: Yaw -> 146.75, Pitch -> 0.00
Mouse Moved: Yaw -> 142.25, Pitch -> 0.00
Mouse Moved: Yaw -> 138.25, Pitch -> 0.00
Mouse Moved: Yaw -> 134.50, Pitch -> 0.00
Mouse Moved: Yaw -> 131.00, Pitch -> 0.00
Mouse Moved: Yaw -> 127.75, Pitch -> 0.00
Mouse Moved: Yaw -> 124.50, Pitch -> 0.00
Mouse Moved: Yaw -> 121.25, Pitch -> 0.00
Mouse Moved: Yaw -> 117.50, Pitch -> 0.00
Mouse Moved: Yaw -> 113.75, Pitch -> 0.00
Mouse Moved: Yaw -> 109.75, Pitch -> 0.00
Mouse Moved: Yaw -> 106.25, Pitch -> 0.00
Mouse Moved: Yaw -> 102.50, Pitch -> 0.00
Mouse Moved: Yaw -> 99.00, Pitch -> 0.00
Mouse Moved: Yaw -> 95.75, Pitch -> 0.00
Mouse Moved: Yaw -> 92.75, Pitch -> 0.00
Mouse Moved: Yaw -> 90.25, Pitch -> 0.00
Mouse Moved: Yaw -> 88.00, Pitch -> 0.00
Mouse Moved: Yaw -> 86.00, Pitch -> 0.00
Mouse Moved: Yaw -> 84.25, Pitch -> 0.00
Mouse Moved: Yaw -> 82.50, Pitch -> 0.00
Mouse Moved: Yaw -> 81.00, Pitch -> 0.00
Mouse Moved: Yaw -> 79.75, Pitch -> 0.00
Mouse Moved: Yaw -> 78.25, Pitch -> 0.00
Mouse Moved: Yaw -> 76.75, Pitch -> 0.00
Mouse Moved: Yaw -> 75.25, Pitch -> 0.00
Mouse Moved: Yaw -> 73.75, Pitch -> 0.00
Mouse Moved: Yaw -> 72.50, Pitch -> 0.00
Mouse Moved: Yaw -> 71.50, Pitch -> 0.00
Mouse Moved: Yaw -> 70.75, Pitch -> 0.00
Mouse Moved: Yaw -> 70.50, Pitch -> 0.00
Mouse Moved: Yaw -> 70.25, Pitch -> 0.00
Mouse Moved: Yaw -> 70.00, Pitch -> 0.00
Mouse Moved: Yaw -> 69.75, Pitch -> 0.00
Mouse Moved: Yaw -> 69.50, Pitch -> 0.00
Mouse Moved: Yaw -> 69.00, Pitch -> 0.00
Mouse Moved: Yaw -> 68.00, Pitch -> 0.00
Mouse Moved: Yaw -> 67.00, Pitch -> 0.00
Mouse Moved: Yaw -> 65.75, Pitch -> 0.00
Mouse Moved: Yaw -> 64.75, Pitch -> 0.00
Mouse Moved: Yaw -> 63.75, Pitch -> 0.00
Mouse Moved: Yaw -> 62.75, Pitch -> 0.00
Mouse Moved: Yaw -> 61.75, Pitch -> 0.00
Mouse Moved: Yaw -> 60.50, Pitch -> 0.00
Mouse Moved: Yaw -> 59.25, Pitch -> 0.00
Mouse Moved: Yaw -> 58.00, Pitch -> 0.00
Mouse Moved: Yaw -> 56.75, Pitch -> 0.00
Mouse Moved: Yaw -> 55.25, Pitch -> 0.00
Mouse Moved: Yaw -> 54.00, Pitch -> 0.00
Mouse Moved: Yaw -> 53.00, Pitch -> 0.00
Mouse Moved: Yaw -> 52.25, Pitch -> 0.00
